epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.9072,0.96016,1.7605,1.162,0.87055,0.91204,0.89801,0.71556,0.82738,0.7978,1.05847,0.0003625,0.0003625,0.0003625
2,60.7194,0.80574,0.73459,1.09688,0.92758,0.92626,0.93129,0.70761,0.84867,0.82885,1.1089,0.000722897,0.000722897,0.000722897
3,93.558,0.80179,0.65851,1.07096,0.87934,0.87691,0.93744,0.73721,0.84105,0.80053,1.17045,0.00106844,0.00106844,0.00106844
4,121.864,0.77233,0.60388,1.06315,0.80375,0.82858,0.95291,0.75451,0.82816,1.02524,1.13596,0.00117575,0.00117575,0.00117575
5,148.716,0.75107,0.59234,1.05584,0.90758,0.88412,0.93393,0.74571,0.77211,0.69796,1.10397,0.001151,0.001151,0.001151
6,173.074,0.74299,0.55114,1.06047,0.95445,0.91567,0.94507,0.74749,0.74831,0.62436,1.07929,0.00112625,0.00112625,0.00112625
7,197.388,0.69535,0.52678,1.03323,0.96226,0.96232,0.95783,0.78193,0.74809,0.60455,1.0723,0.0011015,0.0011015,0.0011015
8,222.314,0.71693,0.52443,1.05096,0.92524,0.9288,0.92945,0.76198,0.79261,0.55403,1.14978,0.00107675,0.00107675,0.00107675
9,246.457,0.71152,0.51357,1.03726,0.93102,0.93414,0.93658,0.79657,0.73604,0.63985,1.10829,0.001052,0.001052,0.001052
10,271.227,0.66099,0.49512,1.01549,0.94585,0.94454,0.92373,0.77655,0.65583,0.55974,1.09267,0.00102725,0.00102725,0.00102725
11,295.169,0.66417,0.48684,1.02071,0.95949,0.95751,0.96113,0.78984,0.6972,0.53851,1.01673,0.0010025,0.0010025,0.0010025
12,319.279,0.68179,0.48728,1.02996,0.96043,0.95934,0.95349,0.81922,0.67305,0.50172,1.03785,0.00097775,0.00097775,0.00097775
13,343.235,0.64764,0.47278,1.00195,0.95515,0.97363,0.95957,0.79857,0.67628,0.51341,1.03749,0.000953,0.000953,0.000953
14,367.651,0.64239,0.46242,0.99978,0.93089,0.94062,0.93386,0.80141,0.60513,0.51049,1.00831,0.00092825,0.00092825,0.00092825
15,392.53,0.63042,0.45033,0.99514,0.94645,0.9565,0.94846,0.81737,0.64561,0.47003,1.01598,0.0009035,0.0009035,0.0009035
16,416.823,0.61633,0.45004,0.99079,0.94052,0.95934,0.95204,0.83522,0.63774,0.46911,1.02753,0.00087875,0.00087875,0.00087875
17,441.101,0.62481,0.44507,0.99663,0.96123,0.95644,0.96307,0.83955,0.65115,0.46871,1.01974,0.000854,0.000854,0.000854
18,464.955,0.62217,0.44247,0.99719,0.96041,0.95934,0.95261,0.85233,0.57603,0.4365,0.99979,0.00082925,0.00082925,0.00082925
19,489.108,0.62019,0.43287,0.99288,0.95854,0.96077,0.94974,0.8313,0.60647,0.46487,1.029,0.0008045,0.0008045,0.0008045
20,513.972,0.61087,0.42743,0.97891,0.95329,0.95934,0.96241,0.83224,0.56668,0.45097,0.98895,0.00077975,0.00077975,0.00077975
21,538.136,0.62012,0.41873,0.99464,0.94965,0.94893,0.95024,0.82324,0.62237,0.45181,1.0612,0.000755,0.000755,0.000755
22,562.527,0.59395,0.42288,0.97196,0.95162,0.95934,0.95742,0.85237,0.60196,0.45893,1.02123,0.00073025,0.00073025,0.00073025
23,587.202,0.60877,0.41349,0.99335,0.94778,0.95934,0.95016,0.82984,0.60009,0.44397,1.02612,0.0007055,0.0007055,0.0007055
