epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.4549,0.96016,1.7605,1.162,0.87055,0.91204,0.89801,0.71556,0.82738,0.7978,1.05847,0.0003625,0.0003625,0.0003625
2,94.588,0.80002,0.73558,1.08898,0.9221,0.89185,0.90312,0.6996,0.90405,0.82767,1.11642,0.000713162,0.000713162,0.000713162
3,116.873,0.81334,0.65934,1.07294,0.70511,0.80373,0.83362,0.60323,0.97039,1.03826,1.19038,0.00103907,0.00103907,0.00103907
4,138.693,0.77977,0.60522,1.06543,0.7766,0.85183,0.9,0.73576,0.80362,0.91184,1.17969,0.00112625,0.00112625,0.00112625
5,160.956,0.76548,0.58043,1.0713,0.88316,0.95157,0.92947,0.74364,0.82594,0.71442,1.16906,0.001085,0.001085,0.001085
6,183.51,0.74167,0.54718,1.05544,0.88675,0.96108,0.94781,0.77225,0.67953,0.57379,1.02444,0.00104375,0.00104375,0.00104375
7,205.553,0.68149,0.52692,1.0168,0.9413,0.94787,0.94869,0.79201,0.68701,0.53149,1.04375,0.0010025,0.0010025,0.0010025
8,228.041,0.71025,0.52374,1.0392,0.87278,0.89806,0.92608,0.76877,0.72551,0.69063,1.13893,0.00096125,0.00096125,0.00096125
9,250.189,0.68833,0.49736,1.02895,0.94256,0.95934,0.93481,0.77541,0.69642,0.60524,1.0294,0.00092,0.00092,0.00092
10,272.509,0.65373,0.48059,1.01398,0.91962,0.9266,0.92488,0.77738,0.68312,0.62962,1.02178,0.00087875,0.00087875,0.00087875
11,294.745,0.65418,0.47078,1.01087,0.96463,0.94488,0.96271,0.80235,0.63949,0.52995,0.98981,0.0008375,0.0008375,0.0008375
12,317.049,0.65682,0.45763,1.01895,0.95199,0.95934,0.95675,0.83405,0.65275,0.48979,1.04204,0.00079625,0.00079625,0.00079625
13,339.427,0.62267,0.44882,0.99499,0.9348,0.94649,0.95057,0.80923,0.66102,0.50656,1.04615,0.000755,0.000755,0.000755
14,362.012,0.62691,0.44187,0.99488,0.95639,0.95934,0.95169,0.83371,0.61699,0.47901,1.00087,0.00071375,0.00071375,0.00071375
15,384.304,0.62225,0.43676,0.98603,0.93166,0.95615,0.94242,0.83901,0.58207,0.4418,1.00267,0.0006725,0.0006725,0.0006725
16,406.294,0.59424,0.42941,0.98165,0.94813,0.95428,0.94704,0.8037,0.64109,0.45446,1.02776,0.00063125,0.00063125,0.00063125
17,428.404,0.60599,0.4223,0.99223,0.9457,0.94184,0.92842,0.80678,0.61723,0.4821,1.02194,0.00059,0.00059,0.00059
18,450.27,0.60052,0.41675,0.98977,0.95265,0.95934,0.93565,0.82665,0.5911,0.44043,1.00805,0.00054875,0.00054875,0.00054875
19,472.292,0.59357,0.4081,0.97987,0.93026,0.96006,0.94708,0.83663,0.62141,0.4542,1.02019,0.0005075,0.0005075,0.0005075
20,495.038,0.58107,0.40506,0.96256,0.95702,0.96535,0.94337,0.8456,0.56682,0.41287,1.00021,0.00046625,0.00046625,0.00046625
21,517.063,0.53315,0.36724,0.95394,0.95323,0.94323,0.95642,0.86015,0.58654,0.40361,0.97592,0.000425,0.000425,0.000425
22,539.034,0.53285,0.35887,0.94246,0.94736,0.9522,0.95586,0.85708,0.60644,0.42221,1.06082,0.00038375,0.00038375,0.00038375
23,560.665,0.53885,0.35814,0.96452,0.95477,0.96648,0.95973,0.85329,0.62736,0.4438,1.05526,0.0003425,0.0003425,0.0003425
24,581.898,0.51443,0.34101,0.95474,0.94845,0.93645,0.94807,0.84032,0.59458,0.48858,0.98615,0.00030125,0.00030125,0.00030125
25,603.199,0.50297,0.33342,0.93406,0.94502,0.94505,0.95122,0.84092,0.59711,0.43879,1.04134,0.00026,0.00026,0.00026
26,626.315,0.49453,0.3247,0.93834,0.91636,0.96648,0.94953,0.86498,0.57893,0.39419,1.02749,0.00021875,0.00021875,0.00021875
27,647.968,0.47759,0.31972,0.9215,0.94581,0.96648,0.95568,0.85419,0.58438,0.41998,1.03858,0.0001775,0.0001775,0.0001775
28,669.368,0.48224,0.30811,0.92254,0.94917,0.96375,0.95617,0.86959,0.56721,0.3957,1.02876,0.00013625,0.00013625,0.00013625
29,691.095,0.46831,0.29824,0.91632,0.94837,0.95426,0.95899,0.8665,0.57734,0.40323,1.03084,9.5e-05,9.5e-05,9.5e-05
30,712.441,0.46166,0.28541,0.90333,0.95609,0.96682,0.96503,0.86716,0.5462,0.37162,1.00209,5.375e-05,5.375e-05,5.375e-05
