epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.0345,0.95148,1.4483,1.17746,0.92562,0.90386,0.92632,0.74793,0.75555,0.75537,1.04171,0.000409722,0.000409722,0.000409722
2,92.919,0.83909,0.75719,1.09854,0.86535,0.94089,0.93406,0.73841,0.83926,0.80865,1.07486,0.000799118,0.000799118,0.000799118
3,119.536,0.7961,0.64158,1.06987,0.90511,0.93792,0.9413,0.77366,0.73793,0.62015,1.10241,0.00116101,0.00116101,0.00116101
4,146.17,0.78999,0.60017,1.07885,0.91903,0.92125,0.89957,0.74635,0.72223,0.62525,1.05982,0.00112625,0.00112625,0.00112625
5,172.72,0.74987,0.59802,1.05556,0.93122,0.93791,0.92251,0.76172,0.7204,0.50117,1.09728,0.001085,0.001085,0.001085
6,199.292,0.76661,0.5653,1.07291,0.92373,0.94505,0.92629,0.78838,0.67617,0.51981,1.05477,0.00104375,0.00104375,0.00104375
7,225.499,0.73162,0.53769,1.06181,0.94506,0.95046,0.9354,0.78275,0.68584,0.4996,1.00716,0.0010025,0.0010025,0.0010025
8,252.032,0.74114,0.56632,1.05468,0.93768,0.95517,0.95326,0.79811,0.68984,0.53555,0.99435,0.00096125,0.00096125,0.00096125
9,278.468,0.6995,0.51859,1.03225,0.94525,0.9522,0.95351,0.81237,0.62541,0.45912,0.97874,0.00092,0.00092,0.00092
10,305.292,0.69028,0.49298,1.02707,0.94248,0.96648,0.95162,0.80832,0.63557,0.48798,0.94015,0.00087875,0.00087875,0.00087875
11,331.962,0.67891,0.49258,1.027,0.91974,0.97111,0.96584,0.77924,0.60594,0.47159,0.9615,0.0008375,0.0008375,0.0008375
12,358.602,0.67629,0.49122,1.02227,0.95637,0.96648,0.94502,0.83103,0.60881,0.41468,0.99123,0.00079625,0.00079625,0.00079625
13,385.178,0.65077,0.45725,1.01885,0.95715,0.96648,0.95749,0.82417,0.62694,0.45246,1.01076,0.000755,0.000755,0.000755
14,411.955,0.66233,0.45638,1.01694,0.94475,0.95829,0.93712,0.82088,0.63379,0.4246,1.01724,0.00071375,0.00071375,0.00071375
15,438.754,0.6232,0.43608,0.99752,0.9597,0.96544,0.95773,0.83449,0.62684,0.39546,1.00684,0.0006725,0.0006725,0.0006725
16,465.275,0.60543,0.42267,0.98936,0.95733,0.97363,0.96378,0.81981,0.63274,0.42328,1.00707,0.00063125,0.00063125,0.00063125
17,491.929,0.62577,0.43598,0.99287,0.94434,0.95744,0.95321,0.81551,0.60642,0.43904,0.96105,0.00059,0.00059,0.00059
18,518.401,0.61389,0.42159,0.99231,0.95591,0.95934,0.96326,0.85018,0.57509,0.39761,0.95917,0.00054875,0.00054875,0.00054875
19,544.895,0.59725,0.40577,0.98795,0.95473,0.96648,0.9639,0.83942,0.57436,0.46639,0.94101,0.0005075,0.0005075,0.0005075
20,571.688,0.58356,0.40461,0.97301,0.95135,0.9454,0.94679,0.81719,0.5601,0.43814,0.92899,0.00046625,0.00046625,0.00046625
21,597.215,0.535,0.36669,0.95471,0.9584,0.95934,0.95117,0.85097,0.58022,0.40901,0.9702,0.000425,0.000425,0.000425
22,623.324,0.5415,0.36573,0.95387,0.94391,0.94505,0.95482,0.84955,0.57245,0.40285,0.97166,0.00038375,0.00038375,0.00038375
23,649.355,0.53647,0.36336,0.95296,0.95217,0.96524,0.96145,0.85152,0.60078,0.37334,0.98037,0.0003425,0.0003425,0.0003425
24,675.32,0.52196,0.34692,0.95446,0.94218,0.95934,0.95962,0.83975,0.55843,0.39658,0.94025,0.00030125,0.00030125,0.00030125
25,701.021,0.52368,0.34567,0.94665,0.949,0.96524,0.95972,0.84934,0.54108,0.37384,0.97481,0.00026,0.00026,0.00026
26,726.815,0.50272,0.32442,0.94186,0.94849,0.97232,0.96395,0.86385,0.54579,0.3578,0.97106,0.00021875,0.00021875,0.00021875
27,752.721,0.49264,0.31959,0.929,0.95993,0.96648,0.96646,0.85915,0.55089,0.35386,0.97628,0.0001775,0.0001775,0.0001775
28,778.223,0.49904,0.31299,0.93508,0.96203,0.95679,0.9571,0.85743,0.52347,0.34442,0.95736,0.00013625,0.00013625,0.00013625
29,804.065,0.47489,0.30005,0.92235,0.96119,0.96648,0.96266,0.87054,0.52354,0.33532,0.95383,9.5e-05,9.5e-05,9.5e-05
30,830.039,0.47378,0.28389,0.90841,0.95357,0.9522,0.96208,0.8688,0.51501,0.32291,0.95522,5.375e-05,5.375e-05,5.375e-05
