epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.344,1.07399,2.67832,1.27366,0.79821,0.89325,0.91756,0.70518,0.76127,1.12417,1.08062,0.000175,0.000175,0.000175
2,185.112,0.80645,0.81355,1.07842,0.90224,0.92484,0.92364,0.7291,0.74737,0.89745,1.03523,0.000350537,0.000350537,0.000350537
3,266.395,0.73109,0.63334,1.03875,0.92752,0.79643,0.90756,0.72768,0.73988,0.74415,1.00666,0.0005137,0.0005137,0.0005137
4,353.326,0.73824,0.57559,1.0374,0.93499,0.93272,0.94683,0.76306,0.7313,0.60736,1.07074,0.000664488,0.000664488,0.000664488
5,439.301,0.70756,0.55328,1.01751,0.8743,0.81896,0.92689,0.76538,0.6834,0.69029,0.99395,0.0008029,0.0008029,0.0008029
6,528.535,0.71024,0.5405,1.0385,0.91069,0.89875,0.92599,0.75926,0.72922,0.64018,1.01419,0.000928938,0.000928938,0.000928938
7,611.969,0.71891,0.55225,1.03385,0.88138,0.58569,0.8363,0.67936,0.77542,0.93645,1.15093,0.0010025,0.0010025,0.0010025
8,696.888,0.68129,0.5091,1.02262,0.61644,0.86953,0.78203,0.64555,0.67328,1.15494,1.00196,0.00096125,0.00096125,0.00096125
9,779.597,0.67611,0.48268,1.00822,0.87934,0.87403,0.90012,0.75753,0.66884,0.71206,0.96065,0.00092,0.00092,0.00092
10,869.222,0.6479,0.4743,0.99519,0.93695,0.93141,0.94287,0.74965,0.6811,0.57476,0.98722,0.00087875,0.00087875,0.00087875
11,951.904,0.67103,0.48566,1.02064,0.93347,0.94505,0.94642,0.78738,0.63604,0.56364,1.00075,0.0008375,0.0008375,0.0008375
12,1034.67,0.65153,0.46649,1.00027,0.94371,0.96186,0.94237,0.79385,0.59506,0.44569,0.96619,0.00079625,0.00079625,0.00079625
13,1118.47,0.62118,0.44625,0.97926,0.92491,0.9578,0.95087,0.81297,0.58989,0.47549,0.98321,0.000755,0.000755,0.000755
14,1203.65,0.62781,0.43813,0.98992,0.89144,0.95517,0.93249,0.79147,0.61264,0.50959,0.95693,0.00071375,0.00071375,0.00071375
15,1293.09,0.60328,0.43305,0.97189,0.94985,0.96648,0.96265,0.82548,0.59356,0.38591,0.927,0.0006725,0.0006725,0.0006725
16,1377.84,0.61164,0.42576,0.97737,0.90936,0.93967,0.93845,0.80415,0.57104,0.44969,0.95339,0.00063125,0.00063125,0.00063125
17,1460.6,0.60699,0.41544,0.97329,0.93692,0.95537,0.95686,0.84992,0.55989,0.39788,0.95526,0.00059,0.00059,0.00059
18,1545.9,0.57404,0.39358,0.96071,0.93657,0.94803,0.93311,0.81094,0.5761,0.4236,0.9448,0.00054875,0.00054875,0.00054875
19,1631.15,0.59423,0.42256,0.97054,0.94456,0.9522,0.95664,0.83337,0.58227,0.38806,0.91557,0.0005075,0.0005075,0.0005075
20,1722.03,0.57718,0.40191,0.9605,0.94427,0.94897,0.94645,0.81962,0.56696,0.42779,0.93008,0.00046625,0.00046625,0.00046625
21,1804.79,0.52874,0.36759,0.93844,0.93563,0.95517,0.94807,0.82268,0.57096,0.38782,0.88808,0.000425,0.000425,0.000425
22,1885.8,0.51905,0.34799,0.93273,0.9096,0.95563,0.94982,0.81613,0.56188,0.40194,0.92637,0.00038375,0.00038375,0.00038375
23,1969.49,0.53006,0.34854,0.94893,0.94425,0.95934,0.95089,0.85181,0.54274,0.34747,0.91297,0.0003425,0.0003425,0.0003425
24,2050.21,0.50885,0.33095,0.93849,0.9272,0.93791,0.94504,0.84307,0.52262,0.38114,0.89965,0.00030125,0.00030125,0.00030125
25,2133.13,0.50376,0.32055,0.92631,0.96235,0.96648,0.96642,0.84543,0.52609,0.35337,0.91548,0.00026,0.00026,0.00026
26,2214.27,0.48966,0.30891,0.92332,0.96523,0.97246,0.96728,0.85271,0.53242,0.3474,0.92723,0.00021875,0.00021875,0.00021875
27,2297.41,0.47939,0.30299,0.91268,0.96302,0.96898,0.95945,0.85329,0.52543,0.35359,0.90488,0.0001775,0.0001775,0.0001775
28,2378.51,0.47204,0.2918,0.90607,0.96013,0.97363,0.95853,0.85033,0.52043,0.32306,0.8807,0.00013625,0.00013625,0.00013625
29,2460.55,0.4629,0.27925,0.89966,0.9644,0.96648,0.95541,0.85981,0.51683,0.31459,0.87972,9.5e-05,9.5e-05,9.5e-05
30,2541.97,0.45167,0.26677,0.88805,0.96584,0.9733,0.95576,0.85589,0.5061,0.31298,0.88256,5.375e-05,5.375e-05,5.375e-05
